"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"122","R. Doubs","R. Doubs","WR","GB","5","","injury-status","Final L 29-34 @ PHI","109","-","-","-","46","72","601","4","-","-","-","-"
"123","M. Pittman","M. Pittman","WR","IND","11","","injury-status","Final L 27-29 vs HOU","130","-","-","-","69","111","808","3","-","-","-","-"
"124","J. Jeudy","J. Jeudy","WR","CLE","9","","injury-status","Final L 17-33 vs DAL","196","-","-","-","90","145","1229","4","-","-","-","-"
"125","D. Hopkins","D. Hopkins","WR","KC","10","Ques","injury-status questionable","Final W 27-20 vs BAL","118","-","-","-","56","80","610","5","-","-","-","-"
"126","J. Downs","J. Downs","WR","IND","11","Ques","injury-status questionable","Final L 27-29 vs HOU","148","1","12","-","72","107","803","5","-","-","-","-"
"127","T. Lockett","T. Lockett","WR","SEA","8","","injury-status","Final W 26-20 vs DEN","97","-","-","-","49","74","600","2","-","-","-","-"
"128","N. Chubb","N. Chubb","RB","CLE","9","","injury-status","Final L 17-33 vs DAL","60","102","332","3","5","11","31","1","-","-","-","-"
"129","J. Warren","J. Warren","RB","PIT","5","","injury-status","Final W 18-10 @ ATL","103","120","511","1","38","47","310","-","-","-","-","-"
"130","J. Ford","J. Ford","RB","CLE","9","","injury-status","Final L 17-33 vs DAL","116","104","565","3","37","43","225","-","-","-","-","-"
"131","J. Ferguson","J. Ferguson","TE","DAL","10","","injury-status","Final W 33-17 @ CLE","71","-","-","-","59","86","494","-","-","-","-","-"
"132","D. Njoku","D. Njoku","TE","CLE","9","","injury-status","Final L 17-33 vs DAL","117","-","-","-","64","97","505","5","-","-","-","-"
"133","D. Goedert","D. Goedert","TE","PHI","9","Ques","injury-status questionable","Final W 34-29 vs GB","81","-","-","-","42","52","496","2","-","-","-","-"
"134","E. Engram","E. Engram","TE","JAX","8","","injury-status","Final L 17-20 @ MIA","65","-","-","-","47","64","365","1","-","-","-","-"
